time,open,high,low,close,volume
2025-10-06 20:00:00+00:00,49.335,49.705,47.235,47.236,490304.03
2025-10-07 00:00:00+00:00,47.235,47.775,46.364,46.58,707751.19
2025-10-07 04:00:00+00:00,46.592,46.645,45.739,45.871,782537.74
2025-10-07 08:00:00+00:00,45.846,46.543,45.562,45.98,428967.51
2025-10-07 12:00:00+00:00,45.983,46.524,44.541,45.22,1101656.03
2025-10-07 16:00:00+00:00,45.212,45.71,44.66,44.979,540819.89
2025-10-07 20:00:00+00:00,44.982,45.695,44.964,45.128,431317.72
2025-10-08 00:00:00+00:00,45.136,46.292,44.86,45.544,332293.23
2025-10-08 04:00:00+00:00,45.547,46.378,45.409,46.372,336897.3
2025-10-08 08:00:00+00:00,46.373,46.694,45.856,45.988,268610.52
2025-10-08 12:00:00+00:00,45.989,46.575,45.652,45.78,422464.89
2025-10-08 16:00:00+00:00,45.779,47.336,45.766,46.792,444630.52
2025-10-08 20:00:00+00:00,46.797,46.841,45.901,46.63,139093.76
2025-10-09 00:00:00+00:00,46.631,46.782,44.937,45.348,314911.09
2025-10-09 04:00:00+00:00,45.348,45.88,44.831,45.269,296506.75
2025-10-09 08:00:00+00:00,45.278,45.385,44.159,44.252,799554.4
2025-10-09 12:00:00+00:00,44.251,44.954,42.796,43.201,935307.24
2025-10-09 16:00:00+00:00,43.21,43.618,42.346,43.539,648125.56
2025-10-09 20:00:00+00:00,43.539,44.62,43.526,43.969,259292.0
2025-10-10 00:00:00+00:00,43.971,44.572,43.945,44.23,192964.2
2025-10-10 04:00:00+00:00,44.23,44.34,43.482,43.689,351640.05
2025-10-10 08:00:00+00:00,43.695,44.857,43.689,44.748,416819.66
2025-10-10 12:00:00+00:00,44.747,45.43,42.175,42.593,1121522.97
2025-10-10 16:00:00+00:00,42.597,43.555,42.11,42.831,872914.32
2025-10-10 20:00:00+00:00,42.84,43.326,34.485,37.606,4574818.51
2025-10-11 00:00:00+00:00,37.606,39.301,36.0,37.964,2334846.93
2025-10-11 04:00:00+00:00,37.976,40.0,37.931,39.23,1013768.03
2025-10-11 08:00:00+00:00,39.171,40.97,38.708,39.973,1216854.96
2025-10-11 12:00:00+00:00,39.974,40.035,37.35,38.089,1275885.33
2025-10-11 16:00:00+00:00,38.083,38.557,36.0,36.385,1064619.36
2025-10-11 20:00:00+00:00,36.364,37.5,35.163,36.848,1486262.03
2025-10-12 00:00:00+00:00,36.851,37.689,36.0,37.125,551120.91
2025-10-12 04:00:00+00:00,37.119,39.007,37.004,37.809,449730.5
2025-10-12 08:00:00+00:00,37.809,37.9,36.108,37.404,502048.94
2025-10-12 12:00:00+00:00,37.405,40.0,36.961,39.463,1040642.2
2025-10-12 16:00:00+00:00,39.454,40.519,39.249,40.307,1025282.2
2025-10-12 20:00:00+00:00,40.306,40.987,39.484,39.651,623437.33
2025-10-13 00:00:00+00:00,39.651,40.199,38.994,39.097,427033.87
2025-10-13 04:00:00+00:00,39.101,42.478,38.195,42.417,1240010.58
2025-10-13 08:00:00+00:00,42.429,42.511,39.55,40.309,803528.83
2025-10-13 12:00:00+00:00,40.295,41.464,39.667,39.762,788373.66
2025-10-13 16:00:00+00:00,39.762,42.273,39.757,42.086,776524.91
2025-10-13 20:00:00+00:00,42.062,43.618,41.917,42.489,664335.59
2025-10-14 00:00:00+00:00,42.478,43.2,41.235,41.245,581146.09
2025-10-14 04:00:00+00:00,41.251,41.385,38.618,38.785,854309.83
2025-10-14 08:00:00+00:00,38.786,39.389,37.733,38.254,1263201.43
2025-10-14 12:00:00+00:00,38.231,40.111,37.48,40.098,1133916.38
2025-10-14 16:00:00+00:00,40.098,40.707,38.908,39.346,939214.39
2025-10-14 20:00:00+00:00,39.356,39.835,38.913,39.441,268555.43
2025-10-15 00:00:00+00:00,39.443,39.798,38.633,38.905,536081.73
2025-10-15 04:00:00+00:00,38.912,40.162,38.75,40.16,347295.67
2025-10-15 08:00:00+00:00,40.162,41.188,40.108,40.367,484911.91
2025-10-15 12:00:00+00:00,40.372,40.487,38.666,38.885,884705.91
2025-10-15 16:00:00+00:00,38.884,39.199,38.3,38.8,632611.52
2025-10-15 20:00:00+00:00,38.796,38.964,36.847,37.463,893793.18
2025-10-16 00:00:00+00:00,37.458,38.096,37.189,37.433,282509.1
2025-10-16 04:00:00+00:00,37.443,38.147,37.202,37.697,244705.87
2025-10-16 08:00:00+00:00,37.691,38.888,37.0,38.882,569245.09
